Title,Status,Authors with affiliation and country
Evaluating the Client-Side Obligation of GDPR-Influenced Policies on Indonesia's Cyber Defense Framework,accepted,"Fernando Morientes (Bina Nusantara University, Indonesia); Dave Mufadhal (Binus University, Indonesia)"
A Framework for Reconstruction 3D Transventricular Network from 2D Ultrasonography Image,accepted,"Alvi Syahrini Utami, Erwin E and Samsuryadi Samsuryadi (Universitas Sriwijaya, Indonesia)"
Improve Augmentation Techniques to Image of Blood Vessels in the Eyes,accepted,"Riza Pahlevi and Erwin E (Universitas Sriwijaya, Indonesia); Setiawan Assegaff (STIKOM Dinamika Bangsa, Jambi, Malaysia); Muhammad Fachrurrozi (Universitas Sriwijaya, Indonesia)"
The Utilization of Attention U-Net Architecture to Enhance YOLOv8 Detection of Transventricular Objects in Fetal Head Ultrasound Images,accepted,"Yadi Utama, Erwin E and Samsuryadi Samsuryadi (Universitas Sriwijaya, Indonesia)"
Anomaly-Driven Dynamic Business Processes: a Framework for Real-Time Clinical Decision Support,accepted,"Zaqqi Yamani and Firdaus Firdaus (Universitas Sriwijaya, Indonesia)"
Optimization of Preprocessing for Biomedical Named Entity Recognition via Multi-Language Back Translation,accepted,"Agus Siswanto (University Sriwijaya, Indonesia & University Dinamika Bangsa, Indonesia); Bambang Tutuko (Sriwijaya University, Indonesia); Firdaus Firdaus (Universitas Sriwijaya, Indonesia); Jasmir Jasmir (STIKOM Dinamika Bangsa Jambi, Indonesia)"
Optimization of Diabetes Mellitus Prediction Using Support Vector Machine,accepted,"Maria Borroek (Sekolah Tinggi Ilmu Komputer Dinamika Bangsa Jambi, Indonesia); Bambang Tutuko (Sriwijaya University, Indonesia); Ermatita Ermatita (Sriwijaya University & Computer Science Faculty, Indonesia); Jasmir Jasmir (STIKOM Dinamika Bangsa Jambi, Indonesia)"
Preprocessing Strategies for Brain Tumor Classification: ResNet50 Fine-Tuning and Image Enhancement Techniques,accepted,"Nurlayli Indah Sari (Universitas Sriwijaya, Indonesia); Rossi Passarella (Sriwijaya University, Indonesia)"
Sentiment Analysis to Predict Customer Loyalty in Mobile E-Commerce Platform Using SVM Method,accepted,"Rugaiyah Balqis (Sriwijaya University, Indonesia); Ermatita Ermatita (Sriwijaya University & Computer Science Faculty, Indonesia); Abdiansah Abdiansah (Universitas Sriwijaya, Indonesia)"
Detection of Fake Reviews on Tokopedia E-Marketplace Using the Bi-LSTM Method to Enhance Consumer Trust,accepted,"Naek Parulian Hutagalung (Sriwijaya University, Indonesia)"
